Feature,Importance,Rank
revenue_momentum,0.1661,1
estimated_ltv,0.1087,2
membership_revenue,0.1078,3
retention_x_ticket,0.1069,4
avg_ticket_price,0.0891,5
mom_member_growth,0.0619,6
total_revenue,0.0563,7
3m_avg_attendance,0.0396,8
prev_month_revenue,0.0395,9
3m_avg_revenue,0.0319,10
class_utilization,0.0296,11
3m_avg_retention,0.015,12
month_cos,0.014,13
class_attendance_rate,0.0131,14
retention_rate,0.0131,15
month_sin,0.0094,16
churn_rate,0.0093,17
revenue_per_member,0.0082,18
total_class_attendance,0.008,19
membership_revenue_pct,0.0074,20
