Feature,Score
revenue_momentum,19887.73426771265
3m_avg_revenue,19757.867955843394
personal_training_revenue,13856.372891899906
personal_training_count,13817.51911202454
prev_month_revenue,13497.567432921116
total_revenue,13067.75295272428
nutrition_coaching_revenue,11657.27184403702
nutrition_coaching_count,11595.603841047387
wellness_services_count,11293.04102402626
wellness_services_revenue,11291.688087350693
premium_membership_revenue,10773.765054025625
membership_revenue,10446.74490091728
class_pack_revenue,10321.445724729394
unlimited_class_revenue,9886.73657707906
basic_membership_revenue,8091.175675794625
staff_util_x_members,7375.125516693848
total_members,7213.980158291008
premium_membership_count,6942.530001959277
prev_month_members,6896.6941531224675
staff_count,6407.06567806131
unlimited_class_count,6216.111843277817
retail_revenue,5230.596179484361
basic_membership_count,4688.59872422566
apparel_revenue,4403.9549831178865
apparel_sales_count,4398.015743470326
supplements_revenue,4388.7053404125345
supplements_sales_count,4362.179045091193
class_pack_10_revenue,3507.9548561461907
class_pack_10_count,3492.9541196055648
daily_revenue_std,2983.3145118055836
drop_in_class_revenue,2335.408151280776
drop_in_class_count,2334.682812006348
family_membership_revenue,2304.6039805299024
estimated_ltv,1650.5553812591738
retention_x_ticket,1650.5332000521062
equipment_revenue,1512.8397470193272
equipment_sales_count,1505.8334482649577
churned_members,1474.6098007073144
new_members,1462.3688660825987
avg_ticket_price,1436.245951964848
revenue_per_member,1436.2437275561597
class_pack_20_revenue,1359.8449342341908
class_pack_20_count,1359.3663481136525
total_class_attendance,1192.5795772289525
weekly_revenue_std,1149.3119139130647
size_large,930.4879972080333
upsell_x_members,867.3616272160909
family_membership_count,838.8391215851995
class_utilization,753.6967220752314
price_high,635.9579959223732
weekday_consistency,594.3857580265848
price_low,543.7956764865701
3m_avg_retention,489.73948904871054
churn_rate,463.50329867422323
retention_rate,463.50329867389445
size_small,378.5752699835377
total_classes_held,267.1516211228644
3m_std_revenue,250.3384187440041
attendance_x_classes,246.88978340665327
location_urban,104.7054466181177
studio_age,95.92260844245757
membership_revenue_pct,73.4033064509723
staff_per_member,48.375404147807146
class_pack_revenue_pct,31.586447816841364
size_medium,20.227672418926613
price_medium,14.086087291768138
month_cos,4.049033291690511
mom_member_growth,1.2473952457823922
is_summer,1.1286765149473603
is_january,0.9408312641791231
holiday_impact_score,0.8186058306377578
avg_classes_per_member,0.7970664060502428
daily_revenue_cv,0.39498739310217257
payday_boost_factor,0.2873246234194855
weekend_weekday_ratio,0.2841344140251465
month_end_revenue_pct,0.15747231762461705
class_attendance_rate,0.08937336872532951
month_end_signup_pct,0.07016599443972504
month_start_revenue_pct,0.06685821190896117
upsell_rate,0.0564588702031876
is_fall,0.0428411738643297
mom_revenue_growth,0.02270013138982657
month_index,0.0026231185945555326
weekend_attendance_pct,0.00194010988025257
month_sin,0.0008326963568678625
3m_avg_attendance,0.00048412867809353576
weekend_revenue_pct,0.0001352633709050641
